"infinitive","present","past","past-perfect","future","stem","imperative","english","qualifier"
"angre","angrer","angret / angra","har angret","skal angre / vil angre","angr","Angr!","regret",
"arbeide","arbeider","* arbeidet / arbeidde","har arbeidet / har arbeidd","skal arbeide / vil arbeide","arbeid","Arbeid!","work",
"arrangere","arrangerer","arrangerte","har arrangert","skal arrangere / vil arrangere","arranger","Arranger!","arrange",
"arve","arver","* arvet / arva","har arvet","skal arve / vil arve","arv","Arv!","inherit",
"be","ber","* bad","har bedt","skal be / vil be","be","Be!","ask, request",
"begrave","begraver","* begravde / begrov","har begravd","skal begrave / vil begrave","begrav","Begrav!","bury",
"begynne","begynner","begynte","har begynt","skal begynne / vil begynne","begynn","Begynn!","begin",
"behandle","behandler","behandlet / behandla","har behandlet","skal behandle / vil behandle","behandl","Behandl!","handle, manage",
"beholde","beholder","* beholdt","har beholdt","skal beholde / vil beholde","behold","Behold!","retain, keep",
"bestemme","bestemmer","bestemte","har bestemt","skal bestemme / vil bestemme","bestemm","Bestemm!","decided",
"bestille","bestiller","bestilte","har bestilt","skal bestille / vil bestille","bestill","Bestill!","order",
"besøke","besøker","besøkte","har besøkt","skal besøke / vil besøke","besøk","Besøk!","visit",
"betale","betaler","betalte","har betalt","skal betale / vil betale","betal","Betal!","pay",
"betrakte","betrakter","betraktet / betrakta","har betraktet / har betrakta","skal betrakte / vil betrakte","betrakt","Betrakt!","view, regard",
"bety","betyr","betydde","har betydd","skal bety / vil bety","bety","Bety!","mean, signify",
"bevare","bevarer","bevarte","har bevart","skal bevare / vil bevare","bevar","Bevar!","save, maintain",
"bidra","bidrar","* bidrog","har bedratt / bedradd","skal bidra / vil bidra","bidra","Bidra!","contribute",
"binde","binder","* bandt","har bundet","skal binde / vil binde","bind","Bind!","bind",
"bite","biter","* bet / beit","har bitt","skal bite / vil bite","bit","Bit!","bite",
"blande","blander","* blandet","har blandet","skal blande / vil blande","bland","Bland!","blend, mix",
"bli","blir","* ble / blei","har blitt","skal bli / vil bli","bli","Bli!","remain, become",
"bo","bor","bodde","har bodd","skal bo / vil bo","bo","Bo!","dwell",
"bre","brer","* bredde / bredte","har bredd / har bredt","skal bre / vil bre","br","Br!","spread",
"brekke","brekker","* brakk","har brukket","skal brekke / vil brekke","brekk","Brekk!","break",
"brenne","brenner","* brann","har brant","skal brenne / vil brenne","brenn","Brenn!","burn up","intransitive"
"brenne","brenner","brente","har brent","skal brenne / vil brenne","brenn","Brenn!","to set fire to","transitive"
"bringe","bringer","* brakte","har brakt","skal bringe / vil bringe","bring","Bring!","bring",
"bruke","bruker","brukte","har brukt","skal bruke / vil bruke","bruk","Bruk!","use",
"bryte","bryter","* brøt / braut","har brutt","skal bryte / vil bryte","bryt","Bryt!","break",
"burde","* bør","* burde","burdet","skal burde / vil burde","burd","Burd!","should",
"by","byr","* baud / bød / bydde","har budt / bydd","skal by / vil by","by","By!","bid, command",
"bygge","bygger","* bygde","har bygd","skal bygge / vil bygge","bygg","Bygg!","build",
"bære","bærer","* bar","har båret","skal bære / vil bære","bær","Bær!","bear, carry",
"bøye","bøyer","bøyde","har bøyde","skal bøye / vil bøye","bøy","Bøy!","bend, conjugate",
"danne","danner","* dannet / danna","har dannet / har danna","skal danne / vil danne","dann","Dann!","form, create",
"danse","danser","danset / dansa","har danset / har dansa","skal danse / vil danse","dans","Dans!","dance",
"dekke","dekker","dekket / dekka","har dekket / har dekka","skal dekke / vil dekke","dekk","Dekk!","cover, set",
"dele","deler","delte","har delt","skal dele / vil dele","del","Del!","divide, share",
"dra","drar","* drog","har dradd / har dratt","skal dra / vil dra","dra","Dra!","pull, drag, travel",
"drepe","dreper","drepte","har drept","skal drepe / vil drepe","drep","Drep!","kill",
